host_ID,host_species,village,grid,season,sex,mass,dist_village,pathogen,otu_Order,otu_Family,otu_Genus,sum_relative_reads,OTU_ID,pathogen_type
3749,Rattus rattus,Andatsakala,agroforest,2,male,140,1.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.755856316015165,76,Protozoa
2472,Rattus rattus,Mandena,village,2,female,62,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.558237547318325,76,Protozoa
2941,Rattus rattus,Sarahandrano,agroforest,1,female,126,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.251070458600537,76,Protozoa
3471,Rattus rattus,Sarahandrano,village,3,male,102,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.324261873831066,76,Protozoa
3081,Rattus rattus,Sarahandrano,flooded_rice,2,male,138,0.33,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.114330063433684,76,Protozoa
3460,Rattus rattus,Sarahandrano,flooded_rice,3,female,58,0.31,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.115039122121117,76,Protozoa
2631,Rattus rattus,Mandena,flooded_rice,3,female,39,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.591836707598023,76,Protozoa
2183,Rattus rattus,Mandena,flooded_rice,1,female,118,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.648392564643281,76,Protozoa
3314,Rattus rattus,Sarahandrano,agriculture,3,male,132,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.597949448147809,76,Protozoa
2313,Rattus rattus,Mandena,agriculture,2,female,98,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.124212420039105,76,Protozoa
2553,Rattus rattus,Mandena,agriculture,3,female,50,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0635126405776092,76,Protozoa
2572,Rattus rattus,Mandena,agriculture,3,female,47,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.880856361569783,76,Protozoa
2586,Rattus rattus,Mandena,agriculture,3,male,132,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.352241518147301,76,Protozoa
2844,Rattus rattus,Sarahandrano,agriculture,1,male,122,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.943700199593162,76,Protozoa
3244,Rattus rattus,Sarahandrano,agriculture,3,male,39.5,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.910888530884539,76,Protozoa
3296,Rattus rattus,Sarahandrano,agriculture,3,male,63,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.875184896611989,76,Protozoa
3298,Rattus rattus,Sarahandrano,agriculture,3,male,150,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.651443958384946,76,Protozoa
3337,Rattus rattus,Sarahandrano,secondary_forest,3,female,148,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.774827652814962,76,Protozoa
4002,Rattus rattus,Andatsakala,village,3,male,117,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.413533822110917,76,Protozoa
2242,Rattus rattus,Mandena,agroforest,1,male,175,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.332556785152258,76,Protozoa
2583,Rattus rattus,Mandena,agriculture,3,female,62,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0857233921072324,76,Protozoa
2601,Rattus rattus,Mandena,flooded_rice,3,female,46,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.732874085627905,76,Protozoa
2739,Rattus rattus,Mandena,village,3,female,73.5,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.681187355201829,76,Protozoa
2756,Rattus rattus,Mandena,agroforest,3,male,114,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.549821446548061,76,Protozoa
3043,Rattus rattus,Sarahandrano,secondary_forest,2,male,170,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.377615049476396,76,Protozoa
